# pipeline profile — started 2026-08-27 09:24:23
     hud:blend       0.85 ms  (sub)
     hud:yaw         0.29 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.56 ms  (sub)
     disp:waitkey    4.24 ms  (sub)
[PROF 09:25:24]  59 frames   17.84 ms/frame  ->  56.0 FPS
   capture           3.11 ms   17.4%
   track             5.63 ms   31.5%
   ctrl+mav          0.37 ms    2.1%
   hud               3.78 ms   21.2%
   display           4.96 ms   27.8%
     detect          5.11 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.73 ms  (sub)
     hud:setup       0.08 ms  (sub)
     hud:ladder      0.09 ms  (sub)
     hud:warp        1.65 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.81 ms  (sub)
     hud:yaw         0.29 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.52 ms  (sub)
     disp:waitkey    4.40 ms  (sub)
[PROF 09:25:26]  56 frames   18.43 ms/frame  ->  54.3 FPS
   capture           3.46 ms   18.8%
   track             5.79 ms   31.4%
   ctrl+mav          0.36 ms    2.0%
   hud               3.93 ms   21.3%
   display           4.89 ms   26.5%
     detect          5.31 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.72 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.11 ms  (sub)
     hud:warp        1.76 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.29 ms  (sub)
     hud:cross       0.05 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.53 ms  (sub)
     disp:waitkey    4.32 ms  (sub)
[PROF 09:25:28]  58 frames   18.02 ms/frame  ->  55.5 FPS
   capture           3.21 ms   17.8%
   track             5.70 ms   31.6%
   ctrl+mav          0.35 ms    2.0%
   hud               3.89 ms   21.6%
   display           4.87 ms   27.0%
     detect          5.22 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.10 ms  (sub)
     hud:warp        1.72 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.31 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.51 ms  (sub)
     disp:waitkey    4.33 ms  (sub)
[PROF 09:25:30]  56 frames   17.87 ms/frame  ->  56.0 FPS
   capture           3.12 ms   17.5%
   track             5.46 ms   30.6%
   ctrl+mav          0.31 ms    1.7%
   hud               3.88 ms   21.7%
   display           5.09 ms   28.5%
     detect          4.96 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.71 ms  (sub)
     hud:setup       0.09 ms  (sub)
     hud:ladder      0.11 ms  (sub)
     hud:warp        1.73 ms  (sub)
     hud:arc         0.05 ms  (sub)
     hud:blend       0.82 ms  (sub)
     hud:yaw         0.30 ms  (sub)
     hud:cross       0.04 ms  (sub)
     disp:record     0.00 ms  (sub)
     disp:imshow     0.52 ms  (sub)
     disp:waitkey    4.54 ms  (sub)
[PROF 09:25:32]  59 frames   18.45 ms/frame  ->  54.2 FPS
   capture           3.50 ms   18.9%
   track             5.78 ms   31.3%
   ctrl+mav          0.34 ms    1.9%
   hud               4.06 ms   22.0%
   display           4.77 ms   25.9%
     detect          5.32 ms  (sub)
     tracker         0.00 ms  (sub)
     hud:overlay     0.76 ms  (sub)
     hud:setup       0.10 ms  (sub)
     hud:ladder      0.11 ms  (sub)
